¿Que son OSPF y IS-IS y sobre que nivel de transporte operan?,"* OSPF sobre IP (con valor 89 en el campo ""protocol"") * IS-IS directamente sobre el nivel de enlace NOTA: Ambos son protocolos IGP de estado de enlace y usan el algortimo de Dijkstra. Soportan CIDR y VLSM"
¿Que dos formas tenemos de representar/compatibilizar una direccion IPv4 con una IPv6?,"* IPv4 Compatible Address (deprecated) --> 80 ceros + 16 ceros + Direccion IPv4 (::/96) * IPv4 Mapped Address --> 80 ceros + 16 unos (FFFF) + Direccion IPv4 (::FFFF:0:0/96) (permite al mismo nodo ""server con dual-stack"" capacidad de conexion con clientes nativos IPv4 e IPv6) NOTA: Ej. 192.100.10.1 --> ::FFFF:C064:0A01"
¿Cuantos bits de una dirección IPv6 nos sirven para hacer subnetting?,El formato de una direccion global unicast es 48bits(prefijo) + 16bits(subnet) + 64bits(interface)
¿En que consiste la politica de rotacion de backup Abuelo-Padre-Hijo?,Es una politica de retención de backup con las siguientes caracteristicas: * Las copias que se hacen 1 vez al mes se guardan durante 12 meses (Abuelo) * Las copias que se hacen 1 vez a la semana se guardan durante 31 días (Padre) * Las copias que se hace 1 vez al dia y se guardan durante 7 días (Hijo)
¿Qué nos ofrece la solución del CCN ADA?,Plataforma del CCN para analisis avanzado de Malware. Evolución natural de las capacidades de análisis DINAMICO (MARTA) y las capacidades de análisis ESTATICO (MARÍA)
¿En que consiste un bloqueo exclusivo y uno compartido en BBDD?,* Bloqueo Compartido --> cuando leemos datos (se pueden tener varios de estos sobre un mismo recurso) * Bloqueo Exclusivo --> cuando modificamos datos (incompatible con cualquier otro bloqueo) NOTA: Tambien tenemos el nivel de bloqueo --> Table. Fila o Pagina (fundamentalmente)
En el ambito del desarrollo. ¿a que se refiere el concepto de Mock?,Los objetos Mock nos van a servir para simular el comportamiento de una parte de nuestro software y asi poder realizar una prueba unitarias de otra pieza del programa de forma totalmente aislada del entorno (BBDD. LDAP. Librerías de terceros. etc) Algunos productos: Mockito o EasyMock (Java). Mockery(PHP). Sinon (Javascript)
En Linux. ¿donde se configura el tiempo de expiración de una password para un usuario?,* En el fichero /etc/shadow tenemos los valores actuales de cada usuario y los podremos cambiar con el comando chage * Para los usuarios nuevos podemos configurar sus valores por defecto en /etc/login.defs (Ej. PASS_WARN_AGE	7) NOTA: Si queremos ajustar la politica de calidad de las password podemos instalar un modulo PAM que lo implemente (Ej: apt install pam_pwquality y luego editar /etc/security/pwquality.conf)
"En CSS. ¿que diferencia hay entre usar el valor ""absolute"" y ""fixed"" de la property position?",* absolute --> desplazamiento (top.left por ej) respecto del contenedor padre (abandona el flujo/layout en curso) * fixed --> desplazamiento respecto del viewport actual (por lo tanto. no desaparece aunque se haga scroll)
"En arquitectura de computadoras. ¿a que se refiere el concepto de ""pipeline""?","Se refiere a la capacidad de ejecutar en paralelo varios de los ""PASOS"" en las que se dividen las instrucciones PASOS --> IF (Fetch o busqueda). ID (Decodificacion). EX (Ejecucion). MEM (Acceso a Memoria). WB (Escritura en registro) LABORATORIOS - Lab de transacciones en BBDD"
